file_id,signal_length,sampling_rate,rpm,signal_key,rms,peak,std,mean,kurtosis,skewness,crest_factor,freq_mean,freq_std,spectral_centroid,BPFO_amplitude,BPFO_harmonics_energy,BPFI_amplitude,BPFI_harmonics_energy,BSF_amplitude,BSF_harmonics_energy,low_band_ratio,high_band_ratio
A,256000,32000,600,A,3.434283758217472,16.010773556160164,3.434283758217472,9.725553695716371e-17,3.1562635218898127,0.01070403198362777,4.66204154442683,1174.186161652912,1280.870372044448,5499.142037902595,156.00145254063102,2664.346499851277,543.7864075857639,1436.9236179195118,150.94126121933198,4147.2024878362245,0.9200811602963163,0.07991883970368371
B,256000,32000,600,B,1.468095159264754,13.437114118014408,1.468095159264754,-9.547918011776345e-18,4.70474732477109,0.032510771989686736,9.15275418845733,545.6202046651922,504.03993035828137,6430.839766738887,141.07360993883546,1058.8865280982404,201.20986687178285,670.0453748258216,191.55394445543368,1758.0553605544442,0.8401838721105562,0.15981612788944388
C,256000,32000,600,C,31.522845445833187,349.4976155494299,31.522845445833187,1.4180323582024812e-16,28.287748901227,0.07031597265885238,11.08712143863992,10670.118544813862,11854.668068902756,8131.228238499089,1301.321108338107,4390.023367875634,1344.1646685911555,5955.6191631502425,1776.0438359985724,9668.457090130376,0.6228104994712819,0.3771895005287181
D,256000,32000,600,D,8.286112019435185,37.847597515484395,8.286112019435185,9.697798120100743e-17,3.0688565504078875,0.013287405769992778,4.567594238010825,2711.3019264255413,3197.7667380455337,6073.333264919253,314.8671291014923,1931.9806240343228,71.71414966290651,667.7969959884567,339.9322428677417,5861.4272957432095,0.9053968974470208,0.09460310255297913
E,256000,32000,600,E,15.665014883485696,179.95648578571968,15.665014883485696,-6.03822547518007e-17,40.93364091252256,-0.04796666187904284,11.487795391463855,5531.395803249554,5676.635110457344,7862.090480807048,3591.963754515315,6128.861032637971,1109.9195691456464,2331.376016427467,2581.980737027704,5718.724261526444,0.40833772550320024,0.5916622744967998
F,256000,32000,600,F,5.77618397554991,26.64760273740527,5.77618397554991,2.1663226767998366e-17,3.077641834457072,0.010823424309980097,4.613357685662763,1911.5248708148583,2210.731499253168,5862.43091953058,158.63964631998297,656.6274599094645,251.34924116453877,743.4278387047524,80.6415784892863,1827.4911182360192,0.9119275445572926,0.08807245544270734
G,256000,32000,600,G,1.604024242716441,10.56184514876505,1.604024242716441,8.493206138382447e-18,4.264569075447025,-0.03356140426160433,6.584591970304884,581.856265521697,565.7772528516884,6476.660074556022,171.78271557561678,645.7742470621937,560.9099083788069,1494.3728875777047,257.35848745036935,6483.785941174506,0.8499251413196257,0.15007485868037423
H,256000,32000,600,H,10.848931846206288,69.89666136391068,10.848931846206288,-1.8474111129762604e-16,4.874453081892859,-0.2580189526767272,6.442722873989896,3941.9210229928876,3819.9843130320965,7830.522843371796,936.8333857624633,3522.0023564092317,1214.6265927129712,2267.3558397656884,340.62750902392423,1968.8409227835562,0.6620599277468007,0.3379400722531993
I,256000,32000,600,I,29.664833164150473,299.77536334779035,29.664833164150473,2.3581137043038326e-16,21.231995887825324,-0.010087489702570507,10.105412077963903,10267.176880404983,10948.313727534027,7629.73409458388,3466.593484009859,7333.272680895016,2275.740514680493,6768.844465737638,2766.1970892949844,8029.186503618757,0.7966689699575104,0.20333103004248967
J,256000,32000,600,J,30.096130981590754,432.43120537574066,30.096130981590754,7.177591854201637e-17,37.106273077255665,0.258535187273734,14.36833211685086,10723.43779018342,10811.402686685755,8330.044369674846,1930.8323811632729,5335.499065618489,1609.459784497265,6651.030397650055,823.9557788187866,4236.155717664958,0.6001584716125548,0.39984152838744524
K,256000,32000,600,K,10.298818395878097,64.0511992900992,10.298818395878097,-3.3861802251067274e-18,3.5315795858440366,-0.02397858454442415,6.219276506102337,3459.0115206472465,3897.184668031803,7008.66491272684,126.76111923220724,2608.636918641512,452.683185027457,4125.433291167778,851.1524090712699,11143.24070470835,0.8052944320384379,0.19470556796156213
L,256000,32000,600,L,1.8350544091121281,10.299607016831022,1.8350544091121281,-1.7208456881689926e-17,3.6244750742848706,0.012873164100390688,5.612698438633424,656.8741154858208,656.1835586278856,6589.063604985228,64.83854996675208,3194.760430003561,356.8015179063993,1116.314120405969,211.144172789592,3300.01950549455,0.8726740449340774,0.12732595506592265
M,256000,32000,600,M,9.982526858726619,54.26162672398696,9.982526858726619,-9.159339953157541e-17,3.3053688980314964,-0.0648934513040086,5.435660478744619,3248.7899446238475,3867.2960339617425,6367.215642837666,269.62152206602656,2858.6307936227167,382.69715530523933,1442.179125424988,466.97560259011635,6567.384193378361,0.8711349447901336,0.12886505520986638
N,256000,32000,600,N,9.266464912988615,174.5346673586475,9.266464912988615,-6.394884621840901e-17,33.00679286361794,-0.14647871909505253,18.83508641078496,3590.82122301841,3014.638948788579,8681.599633524273,117.60970968076937,1695.1724309260858,574.1369629463711,1362.4696480768068,343.40708241384567,3487.457560219276,0.3908399552346271,0.6091600447653729
O,256000,32000,600,O,1.4620268849979468,10.337515545069502,1.4620268849979468,4.0190073491430665e-17,3.9107455485597518,0.024115957125492724,7.070674042416135,542.3352498160684,503.06879566273375,6542.682968355314,122.32594614471732,1137.057850898022,166.01798819461857,790.0048287401988,212.87656613595198,6391.04494023721,0.810210394878171,0.18978960512182894
P,256000,32000,600,P,8.4484789824705,36.92484101444884,8.4484789824705,-1.6220358389773538e-16,3.08773237455871,0.015886909589096533,4.370590385685175,2763.0013310083095,3261.6381936649896,5951.293414262317,179.1978653540132,1746.6422572503525,429.1043499571436,945.4718233891595,230.58485678937836,8663.570958115688,0.9192746283337235,0.08072537166627652
