file_path,fault_type,fault_size,load_level,sensor_type,or_position,sampling_rate,rpm,DE_rms,DE_peak,DE_std,DE_kurtosis,DE_skewness,DE_crest_factor,DE_freq_mean,DE_freq_std,DE_spectral_centroid,DE_BPFO_amplitude,DE_BPFO_harmonics_energy,DE_BPFI_amplitude,DE_BPFI_harmonics_energy,DE_BSF_amplitude,DE_BSF_harmonics_energy,DE_low_band_ratio,DE_high_band_ratio,FE_rms,FE_peak,FE_std,FE_kurtosis,FE_skewness,FE_crest_factor,FE_freq_mean,FE_freq_std,FE_spectral_centroid,FE_BPFO_amplitude,FE_BPFO_harmonics_energy,FE_BPFI_amplitude,FE_BPFI_harmonics_energy,FE_BSF_amplitude,FE_BSF_harmonics_energy,FE_low_band_ratio,FE_high_band_ratio,BA_rms,BA_peak,BA_std,BA_kurtosis,BA_skewness,BA_crest_factor,BA_freq_mean,BA_freq_std,BA_spectral_centroid,BA_BPFO_amplitude,BA_BPFO_harmonics_energy,BA_BPFI_amplitude,BA_BPFI_harmonics_energy,BA_BSF_amplitude,BA_BSF_harmonics_energy,BA_low_band_ratio,BA_high_band_ratio,fault_label
..\源域数据集\12kHz_DE_data\B\0007\B007_0.mat,B,0007,0,DE,,12000,1796.0,0.1379772529554652,0.6226411106405136,0.13797686801093412,2.95712039277253,-0.007632245867121619,4.512635940371149,15.458151856145637,39.858212239941345,2761.004202182399,6.42500715104871,10.478710395312449,28.99714438173669,33.47308807587576,7.001946706940042,16.533920286799248,0.2838256634549854,0.7161743365450144,0.10170294830879031,0.39481067552537463,0.10170287399513289,2.7293701080504253,0.00713825331023349,3.881998330339954,9.287998814733283,30.111617994434734,2800.0025698447753,1.247976643925074,6.274910853480728,24.19283371979276,27.69946461065018,0.9293541149057106,6.606381999103244,0.3085945481881728,0.6914054518118253,0.03525228842438714,0.15962084738163582,0.035252285811863196,3.1245784340396505,0.030932037861445584,4.527957035300207,3.103878389700254,10.472222552233125,1834.981813745244,3.8298298244731814,7.888362356377065,33.07181956847275,36.15204992041117,1.759402162718704,5.854477921709493,0.7770373198821601,0.22296268011783926,0
..\源域数据集\12kHz_DE_data\B\0007\B007_1.mat,B,0007,1,DE,,12000,1772.0,0.13898778540923443,0.6659221374453641,0.13898762831789546,2.970119852771731,0.008788088433626322,4.7912277721716965,14.659127326328452,40.49202649175186,2786.294293297075,6.0758494538357315,14.895974053994486,40.27855964394164,95.23983732300053,5.996146365137303,10.83938845689125,0.25568432486867215,0.7443156751313276,0.0780880340795246,0.3280787846823625,0.07808802570460398,2.865009926210491,-0.01823033449706812,4.201396392541374,8.42172702336028,22.681661797189854,2796.1413146662208,0.7119301189032097,4.383547455217945,36.35283139947024,143.95307143952436,1.0855429353950197,6.101631837927958,0.4506390055009504,0.5493609944990477,0.03478187414751116,0.1430229553916761,0.03478181787654682,3.009085366098326,0.02836730375278455,4.111996805724461,2.867314364082933,10.388341829468686,1825.2486488118454,3.0144445654380507,6.440546795039506,41.50691605590306,65.5103191926596,3.405622341561791,10.421562381090554,0.8528052736375813,0.1471947263624183,0
..\源域数据集\12kHz_DE_data\B\0007\B007_2.mat,B,0007,2,DE,,12000,1748.0,0.14792968736489356,0.7557060774101738,0.1479295611206758,2.876971665697882,0.02300160068596125,5.108549141634411,13.506356101628757,43.799182647412216,2681.5753320950253,11.205436352203721,19.725855608392994,15.180894088965436,21.102622021065063,8.96510114137664,15.380219850631487,0.21362459515627474,0.7863754048437251,0.08192833333868504,0.3398232630186395,0.08192826615790312,2.8895585794998193,-0.0050969937602731875,4.147811253694591,8.613286777323038,23.87862057989153,2723.3079368424555,1.3516864622562845,6.381606213845621,20.83170557247964,35.34759521488813,0.8875040669585593,4.713608939527221,0.594397821347621,0.4056021786523772,0.037087367729633315,0.16325411665747452,0.037087256834205315,3.146300390236501,0.03751810005699612,4.401879309623591,2.9723788969919425,11.100051642956863,1757.3553712678197,2.5595145810709314,5.800380533373474,10.929052210319908,14.248196345209351,1.3228926794180045,7.318197170652168,0.883464139620908,0.11653586037909174,0
..\源域数据集\12kHz_DE_data\B\0007\B007_3.mat,B,0007,3,DE,,12000,1722.0,0.15431174465638978,0.7251441769960921,0.1543115532763732,2.904633844897299,0.023110660251579835,4.699215724705794,17.255313666237562,44.58949221506113,2774.538263554962,8.135566484990708,15.106882883604186,24.185564452502952,29.724001010539848,5.12440115613275,19.59233866582006,0.2766967095575828,0.7233032904424169,0.11952812600846478,0.462731718263085,0.11952811304591483,2.6888899286682637,-0.11473503241656723,3.871320782108766,10.336198377673915,35.56279937885978,2734.214431350374,0.6172461050412871,0.9400891383432808,19.626012348468187,24.74289635853642,0.2094384041349525,17.530541432268198,0.8046471308231314,0.19535286917686798,0.0450745282120434,0.2012861244372647,0.04507452578198642,2.979470933109787,0.10157241428008858,4.465629090788428,3.1977079109550486,13.594820415376002,1792.0136763381079,0.35811224745859505,2.68619943756603,22.460642305849674,25.7637776487964,1.574472036030106,17.35990474521291,0.926359313680027,0.0736406863199727,0
..\源域数据集\12kHz_DE_data\B\0014\B014_0.mat,B,0014,0,DE,,12000,1796.0,0.15019391817440295,2.4914058987989183,0.15019342424158932,21.293149129678564,0.09839350561643827,16.587927987243365,22.59915414990936,40.68022772416305,2511.41829847068,13.189521570054863,26.12572080490514,44.11542710206482,69.0656907044149,14.299667125854894,60.77710665166326,0.3742418343336996,0.6257581656663002,0.08135433561287964,0.6992859206869748,0.08135265279668853,3.9398883903531776,-0.11248981998907279,8.595558127528573,11.31659030465256,22.52420364515136,2485.3257977951857,8.191752029236827,12.308320835205011,38.76129957208013,83.03568933128417,7.175319754973152,55.96651397052931,0.376891589047093,0.6231084109529041,0.04612804656895713,0.3480737415419035,0.046128008720444286,3.8134926580714144,0.042258174319464395,7.545815776559402,4.6663507717720085,13.509033532723375,1575.6041966290322,2.908615590741093,5.358498121857935,49.522351739250055,56.967288905065885,3.922928425681051,35.131886708659835,0.7520745307073436,0.24792546929265538,0
..\源域数据集\12kHz_DE_data\B\0014\B014_1.mat,B,0014,1,DE,,12000,1772.0,0.1412421765763155,1.3200480562590258,0.14124215961372277,9.073033553924779,0.015254329334815239,9.345990611705009,18.903229777870862,39.46905368214508,2814.7456122695066,3.815056996070669,11.337462624492465,40.91688177148138,46.645535468329555,1.4898652125347527,12.082494264563206,0.3299433607045604,0.6700566392954393,0.06530187386046699,0.3275145581410224,0.06530187023532205,3.1023593720517457,0.0016223038277097123,5.015392955504391,9.146019808632271,18.047894645261728,2817.1458965314996,5.4583380535749075,12.563139217155856,33.513258889733386,123.43529575096454,4.580747502532693,29.484048234285556,0.4429705150515459,0.5570294849484513,0.046135483693777624,0.17110675549095003,0.04613540086059926,2.7436804892091327,0.04746333088798886,3.7087885894220616,3.3041651672173757,13.907464917297172,1837.224309426763,1.571993490339147,4.3933161749681275,32.91408558565823,70.11818877739054,2.7027536679075648,10.144058943643216,0.8405700766243474,0.15942992337565187,0
..\源域数据集\12kHz_DE_data\B\0014\B014_2.mat,B,0014,2,DE,,12000,1749.0,0.1476870311914707,1.8222384164708272,0.14768701576329243,9.928000515660926,0.13204108512114543,12.338513421048889,21.80629225020931,40.22917022784557,2606.9075200117104,5.962540614012284,19.892650765232133,28.681914266944688,48.88877651951559,8.006310197671265,62.64169448979794,0.39789934754779804,0.6021006524522018,0.07576499246692175,0.4902002971645963,0.07576499180254453,3.366696113099945,-0.041093512420755034,6.47001050489925,10.462871349594614,21.014290489713723,2607.487076112696,0.6914370383635272,7.24280252933727,25.458742986109584,67.11853554055354,2.6745396641382473,22.140456939960053,0.6602733214751542,0.33972667852484373,0.047845138266299034,0.30648047681359725,0.04784513821122269,3.552771729581158,0.12633982966022778,6.40567647872124,4.594823489136659,14.094207822905444,1553.939569750861,1.8020161052731913,6.335868171140726,31.31477409444508,37.36385562734811,0.5662946786492514,19.47382756872734,0.883571370272775,0.11642862972722454,0
..\源域数据集\12kHz_DE_data\B\0014\B014_3.mat,B,0014,3,DE,,12000,1724.0,0.13873545883321875,1.9859774061103628,0.1387354537088323,15.083341292979474,0.186433866890955,14.314850888249207,19.13115889789605,38.49365583211441,2625.513429086511,1.1381701404443116,10.487492627476879,5.726397078740003,18.060467286483036,1.7087101102751303,53.023958170695145,0.4154024167724578,0.5845975832275419,0.12585418989310074,0.617857838884792,0.12585403454890778,2.7215109406468136,-0.12079759036548635,4.9093148143068905,10.800309653677791,37.46902277889293,2520.4399267326767,1.3713835249901885,7.22258426979959,8.013511826607887,20.86913165444082,0.5432047402033948,11.364492479011835,0.8769512719457482,0.12304872805425088,0.05153730293368443,0.32128449858519337,0.05153719144891809,3.399509524430727,0.32417851980786055,6.234018473931511,4.6032201643189845,15.29040392569398,1571.4278374922671,2.773953001124732,7.577220494364001,4.765669683821339,13.846566350567308,0.8191571342527585,45.25989808453248,0.9134326901069825,0.08656730989301722,0
..\源域数据集\12kHz_DE_data\B\0021\B021_0.mat,B,0021,0,DE,,12000,1796.0,0.13817583784979287,1.6426922911729396,0.13817583117384336,9.076202422217762,-0.014506663605263065,11.888419254303093,17.09338583053624,39.25178092579965,2814.4419563246997,8.10913864112555,20.68191045850302,36.38970493227411,52.64107332653342,8.242692796661457,12.155851674596734,0.24840645443714843,0.7515935455628511,0.09034704144056091,0.5529924904463488,0.09034703962457598,2.7838456180749342,-0.0009794125288497778,6.120759259285332,10.16645762425473,26.08163355653798,2970.20711198094,2.884774722259373,5.645028929579298,30.074549357885097,35.232019187309035,1.4336253916464854,9.293874405716926,0.29989545093761044,0.7001045490623867,0.04206712386605673,0.1818828788612316,0.04206705222691891,2.949022514034607,-0.02420669973856813,4.3236347566891755,3.613612178525323,12.523102849483443,1990.0004080209224,0.2961860072801372,2.2814231660000512,44.85115317050504,50.29572693989097,3.701357473356712,8.526077831587584,0.7068397891674737,0.29316021083252514,0
..\源域数据集\12kHz_DE_data\B\0021\B021_1.mat,B,0021,1,DE,,12000,1774.0,0.12291503929072105,1.4724466900435575,0.12291492270053926,8.9478203818625,0.008622166636519674,11.979385911929768,15.409722463381406,34.82702206233039,2870.8334683556923,3.263157329715181,4.981931726730451,9.193052091274513,40.39582057994129,2.145514143538487,18.150604614992826,0.23689867773994044,0.7631013222600592,0.0725961204254974,0.4796719492343664,0.07259611601609896,3.1003192647872755,-0.017885697542410487,6.607404726629094,9.097285145388716,20.57129912070594,2991.5524086859896,2.1715303363887357,5.0489972020245695,13.214407647945999,47.81185746147223,1.484164162835841,9.648588835282048,0.4520791807186403,0.5479208192813554,0.03500280867064177,0.18321821986537262,0.03500280815798143,2.982945825435068,-0.013184864463250975,5.234386234240824,3.103700256089383,10.3916275523378,1975.4810715809422,1.0400009179045122,3.8392912110624193,5.00631038789382,28.31171190199892,1.6824362799503059,4.606108969569506,0.7580103019350242,0.24198969806497458,0
