PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,label,domain
-2.276625031688825,-0.8372492603327316,-1.193638667499626,-0.4447235493538467,0.05044664009154637,-0.2640144599978509,-0.18653457265021678,-0.691875449184529,-0.16418693839629336,Ball_Fault,Source
-2.5661915613974395,-0.2991512087738683,-0.8246155100517667,0.6010604438325035,-2.3844428833263693,1.537386847140252,-1.1154236566855058,-0.8226689433989139,-0.060779949307027244,Ball_Fault,Source
-2.1431054817535,1.722133395348065,-0.3944020356284886,-0.395006724069284,-2.761533231116395,1.095165316159578,-0.29711669298004695,0.13635450164988316,-0.9060279047284927,Ball_Fault,Source
-1.8352046321482918,-0.48880191243919524,-0.7719758201347517,-1.562836762195202,0.16894460726015714,0.407524633652772,0.4147215876218509,0.2509307166894503,-0.8652697289577004,Ball_Fault,Source
-1.4039567079334172,-1.6137270995910242,-1.8853229498735744,-0.9373733763342716,0.5818047439172502,1.0093334130634382,-0.1549167230157033,-0.31240392565417063,0.36277103730200094,Ball_Fault,Source
-1.7008950284818765,-1.03394840666672,-1.3684920587004108,-0.9813097519576847,0.03527053930549131,0.9246484215906335,-0.1376416125218797,-0.14649487157085114,-0.5187135866560884,Ball_Fault,Source
-1.867849495498136,-0.4814876359113171,-1.1957108998716495,-1.2725942276774969,-0.5230995084732553,-0.49558044975982096,0.20304100694812072,-0.4729672868651082,-0.5326463096533433,Ball_Fault,Source
-1.3684154891128633,-0.6310686128708667,-1.7424609852092978,-1.1841375059067523,0.2910084874373886,0.6634592390101077,-0.04691514591708616,-0.16109979814797296,-0.12528603179332853,Ball_Fault,Source
-1.9856788530275455,-0.2258221439491711,-0.9630472062702222,-1.5308400901549164,0.5370975466506474,-0.1788417969704335,0.39354436156789824,0.29552772932988786,-0.5763045280142258,Ball_Fault,Source
-2.0964299492096927,-0.25723325943990294,-1.322221460308121,-1.035209929097258,-0.7084874256710265,0.17153840771357196,0.036536813831253755,-0.3230192135948519,-0.5524074350700237,Ball_Fault,Source
-1.6165410143066423,-0.5714519946100123,-1.6878960019718974,-1.366412344963118,0.9443722162806734,-0.31564801595390474,0.21617993284344045,-0.5013009696419929,-0.5382268316329023,Ball_Fault,Source
-0.9676764256441601,-0.4551914207787479,-2.5856978854263053,-1.4599723418032777,0.46331915590081124,1.9213443989938264,0.12676325258539828,0.5347860789564064,-0.03497227439636462,Ball_Fault,Source
12.21990301196594,16.163217521391996,-8.822251039038616,-0.5684056208384,-0.6968503065290136,-0.7204789247787446,0.6970623751955249,-0.9273605728272503,-1.6674578685835744,Ball_Fault,Source
12.23183426479339,15.214751034742308,-8.748036707800042,-0.7261468999798295,-0.11211184546528621,-0.22944446565441734,0.816123091391981,-0.7982828541176146,-1.0316190635689337,Ball_Fault,Source
-2.552944542093949,-2.669459352163578,-0.11034491860019545,0.9839828124701383,-0.02240959811648955,1.8926708187245278,-0.4949429660330505,-0.8928881909378074,0.20366047820511396,Ball_Fault,Source
-3.387054684245544,-2.1952251786104515,-0.05756497954286014,2.4407886448014557,-0.28688808007240874,0.8078733173662885,1.0328068369639858,-0.42559269212782874,0.20997222080573888,Ball_Fault,Source
-1.892978203130639,-1.0690575167997114,-0.007253821013448421,0.27105194609482225,0.8734679721519403,1.0046609439033005,-0.014009475800663593,-0.9625602376088671,-0.585301894673431,Ball_Fault,Source
-0.8267671907947556,-0.3668307039480825,-0.5053274729917488,0.7395462513222156,0.2673128875980839,1.3461630408572678,-0.7006227484625213,-0.6247457332721144,-0.3693917378324831,Ball_Fault,Source
-0.8909544663028728,-0.8497033368838115,0.48316384734951906,0.3222299292855527,0.9080722283031348,1.5346648351556327,0.5821445429024503,-0.9391530527527461,0.5502049702740901,Ball_Fault,Source
-3.833382427186578,-3.6709937842958933,-0.7802238584745232,2.043935361899286,0.7637252042819587,1.2125184476397515,1.638490191224897,-0.6607173980888882,-0.0882378494917808,Ball_Fault,Source
-2.2539230431087898,-2.502196810009631,1.3883591916929066,0.6243751135265543,1.0540953976088547,0.5734976236395551,0.3000931818245532,-1.026683146453627,-0.7168563762511366,Ball_Fault,Source
-0.048643996258808206,-0.7837925769794293,-0.3634919628126201,1.219546855087187,1.4813930776875077,1.5177761802428424,-0.2492434481693055,-1.0272577291157001,0.6949364844362881,Ball_Fault,Source
-2.6980760921230473,-2.077654339103775,-0.36848652172766544,2.3150955067086625,-0.19264410552499697,0.9933975656646935,0.7350608292318295,-0.9928047100787087,0.7633519230497944,Ball_Fault,Source
